_,Country,Tot\.Area__Km_._,Tot\.Area__Km_.realName,Tot\.Area__mi_._,Tot\.Area__mi_.realName,LandArea__Km_._,LandArea__Km_.realName,LandArea__mi_._,LandArea__mi_.realName,_ofworld_landmass
"
  ,84
  
  
  
  
  
  
",Laos,"236,800",Tot.Area__Km²_,"91,429",Tot.Area__mi²_,"230,800",LandArea__Km²_,"89,112",LandArea__mi²_,0.20%
"
  ,85
  
  
  
  
  
  
",Guyana,"214,969",Tot.Area__Km²_,"83,000",Tot.Area__mi²_,"196,850",LandArea__Km²_,"76,004",LandArea__mi²_,0.10%
"
  ,86
  
  
  
  
  
  
",Belarus,"207,600",Tot.Area__Km²_,"80,155",Tot.Area__mi²_,"202,910",LandArea__Km²_,"78,344",LandArea__mi²_,0.10%
"
  ,87
  
  
  
  
  
  
",Kyrgyzstan,"199,951",Tot.Area__Km²_,"77,201",Tot.Area__mi²_,"191,800",LandArea__Km²_,"74,054",LandArea__mi²_,0.10%
"
  ,88
  
  
  
  
  
  
",Senegal,"196,722",Tot.Area__Km²_,"75,955",Tot.Area__mi²_,"192,530",LandArea__Km²_,"74,336",LandArea__mi²_,0.10%
"
  ,89
  
  
  
  
  
  
",Syria,"185,180",Tot.Area__Km²_,"71,498",Tot.Area__mi²_,"183,630",LandArea__Km²_,"70,900",LandArea__mi²_,0.10%
"
  ,90
  
  
  
  
  
  
",Cambodia,"181,035",Tot.Area__Km²_,"69,898",Tot.Area__mi²_,"176,520",LandArea__Km²_,"68,155",LandArea__mi²_,0.10%
"
  ,91
  
  
  
  
  
  
",Uruguay,"181,034",Tot.Area__Km²_,"69,898",Tot.Area__mi²_,"175,020",LandArea__Km²_,"67,576",LandArea__mi²_,0.10%
"
  ,92
  
  
  
  
  
  
",Suriname,"163,820",Tot.Area__Km²_,"63,251",Tot.Area__mi²_,"156,000",LandArea__Km²_,"60,232",LandArea__mi²_,0.10%
"
  ,93
  
  
  
  
  
  
",Tunisia,"163,610",Tot.Area__Km²_,"63,170",Tot.Area__mi²_,"155,360",LandArea__Km²_,"59,985",LandArea__mi²_,0.10%
"
  ,94
  
  
  
  
  
  
",Bangladesh,"147,570",Tot.Area__Km²_,"56,977",Tot.Area__mi²_,"130,170",LandArea__Km²_,"50,259",LandArea__mi²_,0.10%
"
  ,95
  
  
  
  
  
  
",Nepal,"147,181",Tot.Area__Km²_,"56,827",Tot.Area__mi²_,"143,350",LandArea__Km²_,"55,348",LandArea__mi²_,0.10%
"
  ,96
  
  
  
  
  
  
",Tajikistan,"143,100",Tot.Area__Km²_,"55,251",Tot.Area__mi²_,"139,960",LandArea__Km²_,"54,039",LandArea__mi²_,0.10%
"
  ,97
  
  
  
  
  
  
",Greece,"131,990",Tot.Area__Km²_,"50,962",Tot.Area__mi²_,"128,900",LandArea__Km²_,"49,769",LandArea__mi²_,0.10%
"
  ,98
  
  
  
  
  
  
",Nicaragua,"130,373",Tot.Area__Km²_,"50,337",Tot.Area__mi²_,"120,340",LandArea__Km²_,"46,464",LandArea__mi²_,0.10%
"
  ,99
  
  
  
  
  
  
",North Korea,"120,538",Tot.Area__Km²_,"46,540",Tot.Area__mi²_,"120,410",LandArea__Km²_,"46,491",LandArea__mi²_,0.10%
"
  ,100
  
  
  
  
  
  
",Malawi,"118,484",Tot.Area__Km²_,"45,747",Tot.Area__mi²_,"94,280",LandArea__Km²_,"36,402",LandArea__mi²_,0.10%
"
  ,101
  
  
  
  
  
  
",Eritrea,"117,600",Tot.Area__Km²_,"45,406",Tot.Area__mi²_,"101,000",LandArea__Km²_,"38,996",LandArea__mi²_,0.10%
"
  ,102
  
  
  
  
  
  
",Benin,"112,622",Tot.Area__Km²_,"43,484",Tot.Area__mi²_,"112,760",LandArea__Km²_,"43,537",LandArea__mi²_,0.10%
"
  ,103
  
  
  
  
  
  
",Honduras,"112,492",Tot.Area__Km²_,"43,433",Tot.Area__mi²_,"111,890",LandArea__Km²_,"43,201",LandArea__mi²_,0.10%
"
  ,104
  
  
  
  
  
  
",Liberia,"111,369",Tot.Area__Km²_,"43,000",Tot.Area__mi²_,"96,320",LandArea__Km²_,"37,189",LandArea__mi²_,0.10%
"
  ,105
  
  
  
  
  
  
",Bulgaria,"110,879",Tot.Area__Km²_,"42,811",Tot.Area__mi²_,"108,560",LandArea__Km²_,"41,915",LandArea__mi²_,0.10%
"
  ,106
  
  
  
  
  
  
",Cuba,"109,884",Tot.Area__Km²_,"42,426",Tot.Area__mi²_,"106,440",LandArea__Km²_,"41,097",LandArea__mi²_,0.10%
"
  ,107
  
  
  
  
  
  
",Guatemala,"108,889",Tot.Area__Km²_,"42,042",Tot.Area__mi²_,"107,160",LandArea__Km²_,"41,375",LandArea__mi²_,0.10%
"
  ,108
  
  
  
  
  
  
",Iceland,"103,000",Tot.Area__Km²_,"39,769",Tot.Area__mi²_,"100,250",LandArea__Km²_,"38,707",LandArea__mi²_,0.10%
"
  ,109
  
  
  
  
  
  
",South Korea,"100,210",Tot.Area__Km²_,"38,691",Tot.Area__mi²_,"97,230",LandArea__Km²_,"37,541",LandArea__mi²_,0.10%
"
  ,110
  
  
  
  
  
  
",Hungary,"93,028",Tot.Area__Km²_,"35,918",Tot.Area__mi²_,"90,530",LandArea__Km²_,"34,954",LandArea__mi²_,0.10%
"
  ,111
  
  
  
  
  
  
",Portugal,"92,090",Tot.Area__Km²_,"35,556",Tot.Area__mi²_,"91,590",LandArea__Km²_,"35,363",LandArea__mi²_,0.10%
"
  ,112
  
  
  
  
  
  
",Jordan,"89,342",Tot.Area__Km²_,"34,495",Tot.Area__mi²_,"88,780",LandArea__Km²_,"34,278",LandArea__mi²_,0.10%
"
  ,113
  
  
  
  
  
  
",Serbia,"88,361",Tot.Area__Km²_,"34,116",Tot.Area__mi²_,"87,460",LandArea__Km²_,"33,768",LandArea__mi²_,0.10%
"
  ,114
  
  
  
  
  
  
",Azerbaijan,"86,600",Tot.Area__Km²_,"33,436",Tot.Area__mi²_,"82,658",LandArea__Km²_,"31,914",LandArea__mi²_,0.10%
"
  ,115
  
  
  
  
  
  
",Austria,"83,871",Tot.Area__Km²_,"32,383",Tot.Area__mi²_,"82,409",LandArea__Km²_,"31,818",LandArea__mi²_,0.10%
"
  ,116
  
  
  
  
  
  
",United Arab Emirates,"83,600",Tot.Area__Km²_,"32,278",Tot.Area__mi²_,"83,600",LandArea__Km²_,"32,278",LandArea__mi²_,0.10%
"
  ,117
  
  
  
  
  
  
",French Guiana,"83,534",Tot.Area__Km²_,"32,253",Tot.Area__mi²_,"82,200",LandArea__Km²_,"31,738",LandArea__mi²_,0.10%
"
  ,118
  
  
  
  
  
  
",Czechia,"78,865",Tot.Area__Km²_,"30,450",Tot.Area__mi²_,"77,240",LandArea__Km²_,"29,823",LandArea__mi²_,0.10%
"
  ,119
  
  
  
  
  
  
",Panama,"75,417",Tot.Area__Km²_,"29,119",Tot.Area__mi²_,"74,340",LandArea__Km²_,"28,703",LandArea__mi²_,0.00%
"
  ,120
  
  
  
  
  
  
",Sierra Leone,"71,740",Tot.Area__Km²_,"27,699",Tot.Area__mi²_,"72,180",LandArea__Km²_,"27,869",LandArea__mi²_,0.00%
"
  ,121
  
  
  
  
  
  
",Ireland,"70,273",Tot.Area__Km²_,"27,133",Tot.Area__mi²_,"68,890",LandArea__Km²_,"26,599",LandArea__mi²_,0.00%
"
  ,122
  
  
  
  
  
  
",Georgia,"69,700",Tot.Area__Km²_,"26,911",Tot.Area__mi²_,"69,490",LandArea__Km²_,"26,830",LandArea__mi²_,0.00%
"
  ,123
  
  
  
  
  
  
",Sri Lanka,"65,610",Tot.Area__Km²_,"25,332",Tot.Area__mi²_,"62,710",LandArea__Km²_,"24,212",LandArea__mi²_,0.00%
"
  ,124
  
  
  
  
  
  
",Lithuania,"65,300",Tot.Area__Km²_,"25,212",Tot.Area__mi²_,"62,674",LandArea__Km²_,"24,199",LandArea__mi²_,0.00%
"
  ,125
  
  
  
  
  
  
",Latvia,"64,559",Tot.Area__Km²_,"24,926",Tot.Area__mi²_,"62,200",LandArea__Km²_,"24,016",LandArea__mi²_,0.00%
"
  ,126
  
  
  
  
  
  
",Togo,"56,785",Tot.Area__Km²_,"21,925",Tot.Area__mi²_,"54,390",LandArea__Km²_,"21,000",LandArea__mi²_,0.00%
"
  ,127
  
  
  
  
  
  
",Croatia,"56,594",Tot.Area__Km²_,"21,851",Tot.Area__mi²_,"55,960",LandArea__Km²_,"21,606",LandArea__mi²_,0.00%
"
  ,128
  
  
  
  
  
  
",Bosnia and Herzegovina,"51,209",Tot.Area__Km²_,"19,772",Tot.Area__mi²_,"51,000",LandArea__Km²_,"19,691",LandArea__mi²_,0.00%
"
  ,129
  
  
  
  
  
  
",Costa Rica,"51,100",Tot.Area__Km²_,"19,730",Tot.Area__mi²_,"51,060",LandArea__Km²_,"19,714",LandArea__mi²_,0.00%
"
  ,130
  
  
  
  
  
  
",Slovakia,"49,037",Tot.Area__Km²_,"18,933",Tot.Area__mi²_,"48,088",LandArea__Km²_,"18,567",LandArea__mi²_,0.00%
"
  ,131
  
  
  
  
  
  
",Dominican Republic,"48,671",Tot.Area__Km²_,"18,792",Tot.Area__mi²_,"48,320",LandArea__Km²_,"18,656",LandArea__mi²_,0.00%
"
  ,132
  
  
  
  
  
  
",Estonia,"45,227",Tot.Area__Km²_,"17,462",Tot.Area__mi²_,"42,390",LandArea__Km²_,"16,367",LandArea__mi²_,0.00%
"
  ,133
  
  
  
  
  
  
",Denmark,"43,094",Tot.Area__Km²_,"16,639",Tot.Area__mi²_,"42,430",LandArea__Km²_,"16,382",LandArea__mi²_,0.00%
"
  ,134
  
  
  
  
  
  
",Netherlands,"41,850",Tot.Area__Km²_,"16,158",Tot.Area__mi²_,"33,720",LandArea__Km²_,"13,019",LandArea__mi²_,0.00%
"
  ,135
  
  
  
  
  
  
",Switzerland,"41,284",Tot.Area__Km²_,"15,940",Tot.Area__mi²_,"39,516",LandArea__Km²_,"15,257",LandArea__mi²_,0.00%
"
  ,136
  
  
  
  
  
  
",Bhutan,"38,394",Tot.Area__Km²_,"14,824",Tot.Area__mi²_,"38,117",LandArea__Km²_,"14,717",LandArea__mi²_,0.00%
"
  ,137
  
  
  
  
  
  
",Taiwan,"36,193",Tot.Area__Km²_,"13,974",Tot.Area__mi²_,"35,410",LandArea__Km²_,"13,672",LandArea__mi²_,0.00%
"
  ,138
  
  
  
  
  
  
",Guinea-Bissau,"36,125",Tot.Area__Km²_,"13,948",Tot.Area__mi²_,"28,120",LandArea__Km²_,"10,857",LandArea__mi²_,0.00%
"
  ,139
  
  
  
  
  
  
",Moldova,"33,846",Tot.Area__Km²_,"13,068",Tot.Area__mi²_,"32,850",LandArea__Km²_,"12,683",LandArea__mi²_,0.00%
"
  ,140
  
  
  
  
  
  
",Belgium,"30,528",Tot.Area__Km²_,"11,787",Tot.Area__mi²_,"30,280",LandArea__Km²_,"11,691",LandArea__mi²_,0.00%
